itemcode,catcode,category,subcat,ssubcat,company,mbrand,brand,sku,packtype,base_pack,multipack,flavor,color,wght,uom,hpkcnv,msu,launchdate,qty,mrp,status,factcode,activeitem,active,nepalcomm,flag,audittype,price_seg,filter_seg,DELYM
99765140,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,BOTTLERS NEPAL - NEPAL,SPRITE,SPRITE,SPRITE PET 2250 ML+250 ML SPRITE FREE,PET,2250.000 ML, ,LEMON,,2250.0,ML,0,0,202403.0,2250.0,270.0,,,Y,ACTIVE,,0,2,,,
99765141,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,BOTTLERS NEPAL - NEPAL,FANTA,FANTA ORANGE,FANTA ORANGE PET 2250 ML+250 ML FANTA FREE,PET,2250.000 ML, ,ORANGE,,2250.0,ML,0,0,202403.0,2250.0,270.0,,,Y,ACTIVE,,0,2,,,
99765142,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,BOTTLERS NEPAL - NEPAL,FANTA,FANTA ORANGE,FANTA ORANGE PET 1500 ML+250 ML FANTA FREE,PET,1500.000 ML, ,ORANGE,,1500.0,ML,0,0,202403.0,1500.0,190.0,,,Y,ACTIVE,,0,2,,,
99765354,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,BOTTLERS NEPAL - NEPAL,COCA-COLA,COCA-COLA,PET 2000 ML+250 ML COCA-COLA FREE,PET,2000.000 ML, ,COLA,,2000.0,ML,0,0,202503.0,2000.0,220.0,,,Y,ACTIVE,,0,2,,,
99765355,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,BOTTLERS NEPAL - NEPAL,SPRITE,SPRITE,PET 2000 ML+250 ML COCA-COLA FREE,PET,2000.000 ML, ,LEMON,,2000.0,ML,0,0,202503.0,2000.0,220.0,,,Y,ACTIVE,,0,2,,,
99765359,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,BOTTLERS NEPAL - NEPAL,FANTA,FANTA ORANGE,ORANGE PET 2000 ML+250 ML COCA-COLA FREE,PET,2000.000 ML, ,ORANGE,,2000.0,ML,0,0,202503.0,2000.0,220.0,,,Y,ACTIVE,,0,2,,,
99765366,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,BOTTLERS NEPAL - NEPAL,FANTA,FANTA ORANGE,ORANGE PET 2250 ML+250 ML COKE FREE,PET,2250.000 ML, ,ORANGE,,2250.0,ML,0,0,202503.0,2250.0,270.0,,,Y,ACTIVE,,0,2,,,
99765367,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,BOTTLERS NEPAL - NEPAL,SPRITE,SPRITE,PET 2250 ML+250 ML COKE FREE,PET,2250.000 ML, ,LEMON,,2250.0,ML,0,0,202503.0,2250.0,270.0,,,Y,ACTIVE,,0,2,,,
99765393,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,BOTTLERS NEPAL - NEPAL,FANTA,FANTA LEMON,LEMON PET 250 ML,PET,250.000 ML, ,LEMON,,250.0,ML,0,0,202505.0,250.0,50.0,,,Y,ACTIVE,,0,2,,,
99765413,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,BOTTLERS NEPAL - NEPAL,FANTA,FANTA LEMON,LEMON PET 2000 ML,PET,2000.000 ML, ,LEMON,,2000.0,ML,0,0,202505.0,2000.0,199.0,,,Y,ACTIVE,,0,2,,,
99765421,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,BOTTLERS NEPAL - NEPAL,FANTA,FANTA LEMON,LEMON PET 2250 ML,PET,2250.000 ML, ,LEMON,,2250.0,ML,0,0,202506.0,2250.0,250.0,,,Y,ACTIVE,,0,2,,,
