PERIOD,AUDITTYPE,STORECODE,DLRCODE,ITEMCODE,CATEGORY,MANUFACTURE,BRAND,ITEMDESC,MRP,PACKSIZE,PACKTYPE,COMMENTS,IMAGE
202306,2,425393910102,42539020002,1686064133681,134,CG FOODS- NEPAL,RIO JUICE & GLUCOSE,RIO/CG FOODS /JUICE/TPK180+20ML EXTRA/RS25,25,RS25,TPK,Sales Deviation is OK,1686064133681-cg foods- nepal-rio juice - glucose#3.png
202306,2,113111235,21102020029,1687069815654,134,SURYODAYA DAIRY UDHYOG-NEPAL,HYGEN MANIA,HYGEN MANIA/BADAM DRINK/CAN/180ML/RS90,90,180 ML,CAN,,1687069815654-suryodaya dairy udhyog-nepal-hygen mania#3.png
202306,2,127273455,22202020007,1686969262901,134,BALAJI DRINKING WATER UDHYG-NP,BALAJI,"BALAJI\500ML\PBT\MINERAL WATER ",18,500ML,PBT,Sales Deviation is OK,1686969262901-balaji drinking water udhyg-np-balaji#3.png
202306,2,128877778,12201020015,1686655887416,134,DIBYASWORI JAL UDHYOG-NEPAL,BALLA,BALLA,20,1LTR,PET,Sales Deviation is OK,1686655887416-dibyaswori jal udhyog-nepal-balla#3.png
202306,2,128189766,31101020097,1686902897103,134,G3 BEVERAGE PVT LTD-NEPAL,GORKHALI,GORKHALI-PET 500ML,20,500ML,PET,,1686902897103-g3 beverage pvt ltd-nepal-gorkhali#3.png
202306,3,3110102993,31101030463,1686898196835,125,SONA TOBACCO UDHYOG PVT LTD.,AMBE,AMBE PREMIUM READYMADE KHAINI PPH 16 GM,351,16 GM,PPH,,1686898196835-sona tobacco udhyog pvt ltd--ambe#3.png
202306,2,130911248,31101020091,1686815742965,134,THAI VICTOR FOOD CO.LTD-THAILAND,JOINER,JOINER-LYCHEE PET 320ML,150,320ML,PET,,1686815742965-thai victor food co-ltd-thailand-joiner#3.png
202306,2,126803333,22202020031,1686914613191,134,PEPSICO INDIA-INDIA,SLICE,"SLICE\250ML\PBT\MANGO ",40,250ML,PBT,Sales Deviation is OK,1686914613191-pepsico india-india-slice#3.png
202306,2,114622103,21102020006,1686898105345,134,HYGEN PACKS NEPAL PVT LTD-NEPAL,MANIA WILD ENERGY DRINK,MANIA WILD ENERGY DRINK/80ML EXTRA/CAN/250ML/,150,250ML+80ML,CAN,,1686898105345-hygen packs nepal pvt ltd-nepal-mania wild energy drink#3.png
202306,2,124650089,31101020099,1686815742965,134,THAI VICTOR FOOD CO.LTD-THAILAND,JOINER,JOINER-LYCHEE PET 320ML,150,320ML,PET,,1686815742965-thai victor food co-ltd-thailand-joiner#3.png
202306,2,124650089,31101020099,1686816973421,134,THAI VICTOR FOOD CO.LTD-THAILAND,JOINER,JOINER-CANTALOUPE PET 320ML,150,320ML,PET,,1686816973421-thai victor food co-ltd-thailand-joiner#3.png
202306,2,435785210006,43578020004,1686813648197,118,DYNAMIC WATER & BEVERAGE-NPL,DEMAND FUN,DEMAND FUN/DYNAMIC WATER/PET250ML/RS35,35,RS 35,PET,Sales Deviation is OK,1686813648197-dynamic water - beverage-npl-demand fun#3.png
202306,2,130675914,31101020077,1686640736592,134,THAI VICTOR FOOD CO.LTD-THAILAND,JOINER,JOINER-RED APPLE PBT 320ML,150,320ML,"PBT ",,1686640736592-thai victor food co-ltd-thailand-joiner#3.png
202306,2,130675914,31101020077,1686640539821,134,THAI VICTOR FOOD CO.LTD-THAILAND,JOINER,JOINER-ORANGE PBT 320ML,150,320ML,"PBT ",,1686640539821-thai victor food co-ltd-thailand-joiner#3.png
202306,2,130675914,31101020077,1686640105866,134,"POKHARA NATURAL FOODS & BEVERAGE PVT LTD ",GLAZE,GLAZE PBT 1 LTR,25,1 L,"PBT ",,1686640105866-pokhara natural foods - beverage pvt ltd -glaze#3.png
202306,2,232113810229,23211020002,1686646921734,134,GAUSHALA BISLERY COMPANY P.LTD NEPAL,BISLERY,"BISLERY\1000ML\PBT\MINERAL WATER ",25,1000ML,PBT,Sales Deviation is OK,1686646921734-gaushala bislery company p-ltd nepal-bislery#3.png
202306,2,130258571,52303020007,1686536158723,118,CAVA FOODS & BEVERAGES-INDIA,"CAVA ORANGE ",CAVA ORANGE/250ML/PBT,20,"250ML ",PBT,Sales Deviation is OK,1686536158723-cava foods - beverages-india-cava orange #3.png
202306,3,3110102779,31101030400,1686297313972,125,PUJA TOBACCO PACKING INDUSTRIES,"TAJA ",TAJA SUPER POWER\8GM\PPH\RS:20\PUJA TOBACCO PACKING INDUSTRY NEPAL,20,8GM,PPH,Sales Deviation is OK,
202306,3,3110101957,31101030486,1686297313972,125,PUJA TOBACCO PACKING INDUSTRIES,"TAJA ",TAJA SUPER POWER\8GM\PPH\RS:20\PUJA TOBACCO PACKING INDUSTRY NEPAL,20,8GM,PPH,Sales Deviation is OK,1686297313972-puja tobacco packing industries-taja #3.png
202306,2,129173662,32201020018,1686195784188,134,NEPAL SOFT DRINKS UDHYOG-NEPAL,SWAAD LITCHI DRINK,SWAAD LITCHI DRINK/PBT/125ML+25ML/RS20/NEPAL SOFT DRINKS UDHYOG-NEPAL,20,125ML+25ML,PBT,,1686195784188-nepal soft drinks udhyog-nepal-swaad litchi drink#3.png
202306,2,111509030,12101020021,1686109155842,134,SUNSARI FOOD & BEVERAGE UDHYOG NEPAL,AQUA DIAMOND,AQUA DIAMOND PROCESSED DRINKING WATER - PBT 1000 ML.SUNSARI FOOD & BEVERAGE UDHYOD NEPAL,20,1000 ML.,PBT,Sales Deviation is OK,1686109155842-sunsari food - beverage udhyog nepal-aqua diamond#3.png
202306,2,126758637,32201020029,1686115934891,134,HYGEN PACKS NEPAL PVT LTD-NEPAL,FIZZY MANIA,FIZZY MANIA/PBT/250ML/50/APPLE JUICE/HYGEN PACKS NEPAL PVT LTD-NEPAL,50,250ML,PBT,,1686115934891-hygen packs nepal pvt ltd-nepal-fizzy mania#3.png
202306,2,126772392,52202020001,1686031679858,134,"KGN DRINKING WATER INDUSTRIES NEPAL ",KGN,KGN PROCESSED DRINKING WATER/20000ML/PBT,80,20000ML,PBT,Sales Deviation is OK,1686031679858-kgn drinking water industries nepal -kgn#3.png
202306,2,112202294,42303020015,1685944324309,134,CG FOODS- NEPAL,RIO MANGO,RIO/CGFOODS/MANGO ALFONSO/TPK /RS 25200,25,200ML,TPK,Sales Deviation is OK,1685944324309-cg foods- nepal-rio mango#3.png
202306,2,116596450,42303020016,1685944324309,134,CG FOODS- NEPAL,RIO MANGO,RIO/CGFOODS/MANGO ALFONSO/TPK /RS 25200,25,200ML,TPK,Sales Deviation is OK,
